lon,lat,change
-96.82509727625597,32.71406695402764,growth_pos
-96.82602765763366,32.715283969074086,growth_pos
-96.82924986223522,32.709679844919826,growth_pos
-96.8259549186814,32.71206342905172,growth_pos
-96.82457800614195,32.705703655987534,growth_pos
-96.82426414127305,32.715913644144024,growth_pos
-96.82708954464013,32.7078034295342,growth_pos
-96.82608142726437,32.715685158354844,growth_pos
-96.82381035725348,32.71020099631851,growth_pos
-96.82489543677757,32.70363167625546,growth_pos
-96.88676060311664,32.922300784981076,growth_pos
-96.88231597353793,32.91881088585771,growth_pos
-96.8826717116655,32.91783226945801,growth_pos
-96.88244106302695,32.92379428610313,growth_pos
-96.88484436380357,32.919084415801365,growth_pos
-96.88274754629224,32.91976611384133,growth_pos
-96.98949068750431,32.86031108204289,growth_pos
-96.99028464308114,32.85986846941444,growth_pos
-96.98858630482313,32.8563753478763,growth_pos
-96.9893569682456,32.856723907073224,growth_pos
-96.98860198497161,32.85860739570882,growth_pos
-96.98951139224484,32.85758955977621,growth_pos
-96.98891221426686,32.85659173933198,growth_pos
-96.98921220103543,32.85845151741127,growth_pos
-96.99198738374145,32.85859495639639,growth_pos
-96.9881289411,32.858276976230634,growth_pos
-96.98916281104799,32.85737418112984,growth_pos
-96.99126830871586,32.85720229879541,growth_pos
-96.99031175458458,32.85805468133161,growth_pos
-96.9880237461663,32.857011862854804,growth_pos
-96.99086988606066,32.85808933398289,growth_pos
-96.988171731807,32.85658050251416,growth_pos
-96.99161132457547,32.85874484793215,growth_pos
-96.9907694206492,32.85832986828288,growth_pos
-96.98778537285747,32.85677887952338,growth_pos
-96.71386831185457,32.894770487355075,growth_pos
-96.71446412244471,32.89623286231644,growth_pos
-96.71775907642203,32.89481710032404,growth_pos
-96.71635984266672,32.895045118130795,growth_pos
-96.71604722653912,32.896098505019566,growth_pos
-96.71544283136308,32.89534737242895,growth_pos
-96.71394483657102,32.89479130829861,growth_pos
-96.71540283909485,32.89677235909835,growth_pos
-96.83965030752205,32.7129792089888,growth_pos
-96.83790582491795,32.71035989544922,growth_pos
-96.83688818284648,32.709914509967206,growth_pos
-96.83197166241806,32.812723796438725,growth_pos
-96.83339217567148,32.808662536183114,growth_pos
-96.83191102106399,32.81384424343161,growth_pos
-96.83648434120158,32.81969498380841,growth_pos
-96.84003098734225,32.81450808931978,growth_pos
-96.83471111728541,32.815069465225896,growth_pos
-96.82957349893297,32.81143612257657,growth_pos
-96.8349617280391,32.8130720462495,growth_pos
-96.83006701830664,32.813919750649,growth_pos
-96.84051666255614,32.81517361657461,growth_pos
-96.83911371310782,32.81554881215537,growth_pos
-96.83210371602581,32.81250085668425,growth_pos
-96.83154488141315,32.8128438363453,growth_pos
-96.82887133489457,32.80710837810638,growth_pos
-96.82987372856275,32.80866507868117,growth_pos
-96.83017721740916,32.80837795511141,growth_pos
-96.8315990414493,32.807347669598286,growth_pos
-96.83645916936077,32.81996218363212,growth_pos
-96.82966669723196,32.810984514365565,growth_pos
-96.83974210478466,32.81574047284036,growth_pos
-96.83837251854625,32.81650665432617,growth_pos
-96.83134801698449,32.80767198837752,growth_pos
-96.83450377230886,32.816507656578885,growth_pos
-96.83629390370238,32.818122668016194,growth_pos
-96.83857741822146,32.8170881783462,growth_pos
-96.8351838853382,32.81025799126049,growth_pos
-96.83343616168042,32.81580143193676,growth_pos
-96.83214476942763,32.81457886666406,growth_pos
-96.83803550795905,32.8190103519027,growth_pos
-96.837388382976755,32.81748997814646,growth_pos
-96.83401703995912,32.81030272437524,growth_pos
-96.83169867148733,32.81466088025204,growth_pos
-96.83782531624419,32.814127758607164,growth_pos
-96.83984959539443,32.81622937602606,growth_pos
-96.8380269027252,32.81295934933301,growth_pos
-96.83314589444487,32.81459387593132,growth_pos
-96.83113426925154,32.80829694882533,growth_pos
-96.82944425351529,32.81178610345632,growth_pos
-96.83590280799226,32.81486899982436,growth_pos
-96.83013025286964,32.81291985958978,growth_pos
-96.83244345784239,32.809783999156636,growth_pos
-96.83211673428647,32.81720822902734,growth_pos
-96.763300646971,32.672694020536525,growth_pos
-96.76909635280647,32.67279360371853,growth_pos
-96.76877264858504,32.673574241640175,growth_pos
-96.77040866517501,32.67178287077932,growth_pos
-96.76711933556027,32.670965750980564,growth_pos
-96.76820503196413,32.673675423336945,growth_pos
-96.77229542038559,32.6693885205287,growth_pos
-96.7643879412147,32.6730876018281,growth_pos
-96.77128077747926,32.669144595050184,growth_pos
-96.76780076750886,32.67648241287131,growth_pos
-96.74690406507706,32.86139353356434,growth_pos
-96.85542125023588,32.88439378838457,growth_pos
-96.84552161346927,32.934583207755665,growth_pos
-96.8493983316671,32.92950861969575,growth_pos
-96.85201075506288,32.933147452316085,growth_pos
-96.84383316844611,32.934264338305226,growth_pos
-96.84491727810364,32.93327126221883,growth_pos
-96.847098047027,32.92915467650016,growth_pos
-96.84166902071668,32.93699810124175,growth_pos
-96.8461816499485,32.93974094042733,growth_pos
-96.8401716258526,32.9382119869737,growth_pos
-96.83969107087147,32.93968660643474,growth_pos
-96.84779404798392,32.93241373381301,growth_pos
-96.84364021022175,32.93950353610678,growth_pos
-96.84685177654944,32.937456640423164,growth_pos
-96.85493715594545,32.92547524087719,growth_pos
-96.85146267950749,32.92769056000313,growth_pos
-96.84660787327329,32.93843900712324,growth_pos
-96.83929390789532,32.92983891183048,growth_pos
-96.85288736558567,32.93083797462686,growth_pos
-96.85430867029513,32.930581970864175,growth_pos
-96.84094743962874,32.93389688694505,growth_pos
-96.84173419669867,32.928409054197814,growth_pos
