GIS Join Match Code,Geography Year,State Name,State Code,County Name,County Code,Census Tract Code,Block Group Code,1990: Persons: Total,Lower bound: 1990: Persons: Total,Upper bound: 1990: Persons: Total,2000: Persons: Total,Lower bound: 2000: Persons: Total,Upper bound: 2000: Persons: Total,2010: Persons: Total
G48000109501001,2010,Texas,48,Anderson County,1,950100,1,1190.9,1186,1194,1300.45,1300,1302,1328
G48000109501002,2010,Texas,48,Anderson County,1,950100,2,1368,1368,1372,1689,1689,1689,1930
G48000109501003,2010,Texas,48,Anderson County,1,950100,3,1084.24,1069,1188,1346,1346,1346,1427
G48000109504011,2010,Texas,48,Anderson County,1,950401,1,4725.59,0,10079,6768.8,1185,6770,5422
G48000109504021,2010,Texas,48,Anderson County,1,950402,1,5353.41,0,10079,7612.2,7611,7709,7535
G48000109505001,2010,Texas,48,Anderson County,1,950500,1,751,751,751,656,656,656,709
G48000109505002,2010,Texas,48,Anderson County,1,950500,2,624,624,624,563,563,563,564
G48000109505003,2010,Texas,48,Anderson County,1,950500,3,1680,1680,1680,1690,1690,1690,1831
G48000109505004,2010,Texas,48,Anderson County,1,950500,4,1143,1143,1143,1045,1045,1045,1273
G48000109506001,2010,Texas,48,Anderson County,1,950600,1,1879,1879,1879,2023,2023,2023,2065
G48000109506002,2010,Texas,48,Anderson County,1,950600,2,1781,1781,1781,1761,1761,1761,1622
G48000109506003,2010,Texas,48,Anderson County,1,950600,3,1367,1367,1367,1301,1301,1301,1393
G48000109506004,2010,Texas,48,Anderson County,1,950600,4,1267,1267,1267,1278,1278,1278,1325
G48000109507001,2010,Texas,48,Anderson County,1,950700,1,772,772,772,632,632,632,839
G48000109507002,2010,Texas,48,Anderson County,1,950700,2,815,815,815,738,738,738,692
G48000109507003,2010,Texas,48,Anderson County,1,950700,3,997,997,997,983,983,983,1109
G48000109508001,2010,Texas,48,Anderson County,1,950800,1,1417.96,1346,1430,1355.16,1296,1356,1503
G48000109508002,2010,Texas,48,Anderson County,1,950800,2,1352.04,1351,1424,1206.84,1206,1266,1230
G48000109508003,2010,Texas,48,Anderson County,1,950800,3,1134,1134,1134,1064,1064,1064,1070
G48000109508004,2010,Texas,48,Anderson County,1,950800,4,811,811,811,740,740,740,774
G48000109508005,2010,Texas,48,Anderson County,1,950800,5,641,641,641,589,589,589,669
G48000109509011,2010,Texas,48,Anderson County,1,950901,1,961,961,961,1108,1108,1108,1163
G48000109509012,2010,Texas,48,Anderson County,1,950901,2,558,547,558,721,721,721,690
G48000109509013,2010,Texas,48,Anderson County,1,950901,3,542,542,542,603,603,603,622
G48000109509014,2010,Texas,48,Anderson County,1,950901,4,1416.84,1414,11539,2014.25,2014,7534,3463
G48000109509021,2010,Texas,48,Anderson County,1,950902,1,820,820,820,853,853,853,975
G48000109509022,2010,Texas,48,Anderson County,1,950902,2,1483,1483,1483,1474,1474,1474,1617
G48000109509023,2010,Texas,48,Anderson County,1,950902,3,731.16,688,734,863.75,831,864,907
G48000109509024,2010,Texas,48,Anderson County,1,950902,4,1099,1099,1099,1245,1245,1245,1335
G48000109510001,2010,Texas,48,Anderson County,1,951000,1,950,950,950,1109,1109,1109,1382
G48000109510002,2010,Texas,48,Anderson County,1,951000,2,1584.98,1556,1585,1834.99,1815,1835,2238
G48000109510003,2010,Texas,48,Anderson County,1,951000,3,590.02,590,619,606.01,606,626,701
G48000109510004,2010,Texas,48,Anderson County,1,951000,4,659.98,645,677,1020.16,981,1029,1250
G48000109510005,2010,Texas,48,Anderson County,1,951000,5,521.07,521,528,604.21,604,627,691
G48000109510006,2010,Texas,48,Anderson County,1,951000,6,598.96,582,607,626.63,618,643,726
G48000109511001,2010,Texas,48,Anderson County,1,951100,1,1339.76,1236,1355,1665,1665,1665,1803
G48000109511002,2010,Texas,48,Anderson County,1,951100,2,719,719,719,738,738,738,900
G48000109511003,2010,Texas,48,Anderson County,1,951100,3,870,870,870,1068,1068,1068,1076
G48000109511004,2010,Texas,48,Anderson County,1,951100,4,427,427,427,614,614,614,609
G48000309501001,2010,Texas,48,Andrews County,3,950100,1,1369.31,1206,1379,1525,1525,1525,1678
G48000309502001,2010,Texas,48,Andrews County,3,950200,1,1511.69,1502,1675,1289,1289,1289,1540
G48000309502002,2010,Texas,48,Andrews County,3,950200,2,1041,1041,1041,923,923,923,1029
G48000309502003,2010,Texas,48,Andrews County,3,950200,3,1271,1271,1271,1176,1176,1176,1250
G48000309502004,2010,Texas,48,Andrews County,3,950200,4,797,797,797,775,775,775,813
G48000309502005,2010,Texas,48,Andrews County,3,950200,5,845,845,845,752,752,752,1003
G48000309502006,2010,Texas,48,Andrews County,3,950200,6,795,795,795,692,692,692,838
G48000309503001,2010,Texas,48,Andrews County,3,950300,1,1801,1801,2070,1449,1449,1449,1720
G48000309503002,2010,Texas,48,Andrews County,3,950300,2,1690,1690,1690,1428,1428,1428,1594
G48000309503003,2010,Texas,48,Andrews County,3,950300,3,703,703,703,642,642,642,610
G48000309504001,2010,Texas,48,Andrews County,3,950400,1,2514,2245,2514,2353,2353,2353,2711
G48000500001011,2010,Texas,48,Angelina County,5,101,1,2191,2191,2191,2823,2823,2823,3100
G48000500001012,2010,Texas,48,Angelina County,5,101,2,1031,1031,1031,1166,1166,1166,1317
G48000500001013,2010,Texas,48,Angelina County,5,101,3,1674,1674,1674,1906,1906,1906,1894
G48000500001021,2010,Texas,48,Angelina County,5,102,1,1994,1994,1994,2674,2674,2674,3526
G48000500001022,2010,Texas,48,Angelina County,5,102,2,454,454,454,620,620,620,921
G48000500002001,2010,Texas,48,Angelina County,5,200,1,1720,1720,1720,1801,1801,1801,1945
G48000500002002,2010,Texas,48,Angelina County,5,200,2,2451.2,2357,2525,2493.03,2493,2547,2534
G48000500002003,2010,Texas,48,Angelina County,5,200,3,1617,1617,1617,1804,1804,1804,2101
G48000500003011,2010,Texas,48,Angelina County,5,301,1,1427.55,1168,1429,1793,1793,1793,1758
G48000500003012,2010,Texas,48,Angelina County,5,301,2,861,861,861,1142,1142,1142,1506
G48000500003013,2010,Texas,48,Angelina County,5,301,3,1753,1753,1753,1970,1970,1970,2062
G48000500003021,2010,Texas,48,Angelina County,5,302,1,1353.02,1353,1554,2300.04,2300,2525,2458
G48000500003022,2010,Texas,48,Angelina County,5,302,2,1519.98,1319,1520,1788.96,1564,1789,2155
G48000500004001,2010,Texas,48,Angelina County,5,400,1,674,674,674,808,808,808,816
G48000500004002,2010,Texas,48,Angelina County,5,400,2,1778.08,1777,1801,2094.04,2093,2116,1877
G48000500004003,2010,Texas,48,Angelina County,5,400,3,1457.92,1435,1459,1441.96,1420,1443,1543
G48000500004004,2010,Texas,48,Angelina County,5,400,4,1307,1307,1307,1310,1310,1310,1243
G48000500005001,2010,Texas,48,Angelina County,5,500,1,1041.46,1035,1122,873,873,873,767
G48000500005002,2010,Texas,48,Angelina County,5,500,2,1257.45,1256,1517,1316,1316,1316,1724
G48000500005003,2010,Texas,48,Angelina County,5,500,3,1262,1262,1262,1081,1081,1081,771
G48000500005004,2010,Texas,48,Angelina County,5,500,4,868.35,769,1024,743.99,743,744,744
G48000500006001,2010,Texas,48,Angelina County,5,600,1,1529.86,1297,1657,1614,1614,1614,1625
G48000500006002,2010,Texas,48,Angelina County,5,600,2,1321.61,1275,1399,1481,1481,1481,1696
G48000500006003,2010,Texas,48,Angelina County,5,600,3,1289,1289,1289,1410,1410,1410,1545
G48000500006004,2010,Texas,48,Angelina County,5,600,4,1382.1,1351,1503,1238.43,1236,1262,1550
G48000500007001,2010,Texas,48,Angelina County,5,700,1,1008,1008,1008,1168,1168,1168,1119
G48000500007002,2010,Texas,48,Angelina County,5,700,2,1055,1055,1055,1137,1137,1137,961
G48000500007003,2010,Texas,48,Angelina County,5,700,3,1252.72,1172,1278,1232.01,1232,1233,1212
G48000500008001,2010,Texas,48,Angelina County,5,800,1,1966.07,1966,2446,2057,2057,2057,2573
G48000500008002,2010,Texas,48,Angelina County,5,800,2,1299,1299,1299,1397,1397,1397,1402
G48000500008003,2010,Texas,48,Angelina County,5,800,3,1305,1305,1305,1240,1240,1240,1352
G48000500008004,2010,Texas,48,Angelina County,5,800,4,664.72,638,668,798.57,775,801,972
G48000500009011,2010,Texas,48,Angelina County,5,901,1,1584,1584,1584,1919,1919,1919,2060
G48000500009012,2010,Texas,48,Angelina County,5,901,2,1439,1439,1446,1438,1438,1438,1524
G48000500009013,2010,Texas,48,Angelina County,5,901,3,1176,1169,1176,1428,1428,1428,1666
G48000500009014,2010,Texas,48,Angelina County,5,901,4,904,904,904,1049,1049,1049,1092
G48000500009021,2010,Texas,48,Angelina County,5,902,1,1964.93,1485,1965,2455,2455,2455,2703
G48000500009022,2010,Texas,48,Angelina County,5,902,2,654,654,654,810,810,810,1042
G48000500010011,2010,Texas,48,Angelina County,5,1001,1,1426.7,1412,1517,1519.86,1518,2645,2211
G48000500010012,2010,Texas,48,Angelina County,5,1001,2,1758,1758,1758,1774,1774,1774,1587
G48000500010013,2010,Texas,48,Angelina County,5,1001,3,1294.3,1204,1309,2102.14,977,2104,1579
G48000500010021,2010,Texas,48,Angelina County,5,1002,1,1768,1768,1768,2462,2462,2462,2820
G48000500010022,2010,Texas,48,Angelina County,5,1002,2,1439,1439,1439,1459,1459,1459,1469
G48000500011001,2010,Texas,48,Angelina County,5,1100,1,1673,1673,1673,2155,2155,2155,2298
G48000500011002,2010,Texas,48,Angelina County,5,1100,2,2159.98,2114,2160,2558.97,2505,2559,2909
G48000500011003,2010,Texas,48,Angelina County,5,1100,3,705,705,705,851,851,851,872
G48000500012001,2010,Texas,48,Angelina County,5,1200,1,1175.09,1111,1236,1311.23,1214,1413,1480
G48000500012002,2010,Texas,48,Angelina County,5,1200,2,574.84,533,654,697,697,697,795
G48000500012003,2010,Texas,48,Angelina County,5,1200,3,547.07,407,589,623.77,522,624,714
G48000500013001,2010,Texas,48,Angelina County,5,1300,1,1524.04,1524,1585,1777.04,1777,1840,1813
G48000500013002,2010,Texas,48,Angelina County,5,1300,2,1422,1422,1422,1892,1892,1892,2096
G48000500013003,2010,Texas,48,Angelina County,5,1300,3,928.96,868,932,1125.96,1063,1126,1272
G48000709501001,2010,Texas,48,Aransas County,7,950100,1,878,878,878,1439,1439,1441,1158
G48000709501002,2010,Texas,48,Aransas County,7,950100,2,960.59,960,1112,1248.75,1248,1436,1379
G48000709501003,2010,Texas,48,Aransas County,7,950100,3,1196,1196,1196,1569,1569,1569,2053
G48000709501004,2010,Texas,48,Aransas County,7,950100,4,439,439,439,481,481,481,380
G48000709501005,2010,Texas,48,Aransas County,7,950100,5,534,534,534,749,749,749,525
G48000709502001,2010,Texas,48,Aransas County,7,950200,1,513,513,513,542,542,542,445
G48000709502002,2010,Texas,48,Aransas County,7,950200,2,904,904,904,918,918,918,718
G48000709503001,2010,Texas,48,Aransas County,7,950300,1,620,620,620,1676,1676,1676,2370
G48000709503002,2010,Texas,48,Aransas County,7,950300,2,1323,1323,1323,1525,1525,1525,1383
G48000709503003,2010,Texas,48,Aransas County,7,950300,3,1146,1146,1146,1283,1283,1283,1757
G48000709503004,2010,Texas,48,Aransas County,7,950300,4,1050,1050,1050,1203,1203,1203,1099
G48000709504001,2010,Texas,48,Aransas County,7,950400,1,1616,1616,1616,1527,1527,1527,1474
G48000709504002,2010,Texas,48,Aransas County,7,950400,2,826,826,826,902,902,902,880
G48000709504003,2010,Texas,48,Aransas County,7,950400,3,1215,1215,1215,1217,1217,1217,1229
G48000709505001,2010,Texas,48,Aransas County,7,950500,1,1415.14,765,1907,2079,2079,2079,2168
G48000709505002,2010,Texas,48,Aransas County,7,950500,2,705.75,458,877,1052,1052,1052,1050
G48000709505003,2010,Texas,48,Aransas County,7,950500,3,914.92,912,1331,873,873,873,743
G48000709505004,2010,Texas,48,Aransas County,7,950500,4,1635.6,824,2289,2213.25,2026,2214,2347
G48000709900000,2010,Texas,48,Aransas County,7,990000,0,0,0,0,0,0,0,0
G48000900201001,2010,Texas,48,Archer County,9,20100,1,1111,1111,1111,1255,1255,1255,1348
G48000900201002,2010,Texas,48,Archer County,9,20100,2,971,971,971,1166,1166,1166,1312
G48000900202001,2010,Texas,48,Archer County,9,20200,1,971.14,969,980,1025,1025,1025,899
G48000900202002,2010,Texas,48,Archer County,9,20200,2,955.05,945,960,1071,1071,1071,1074
G48000900202003,2010,Texas,48,Archer County,9,20200,3,661.81,659,663,781,781,781,807
G48000900203001,2010,Texas,48,Archer County,9,20300,1,1113,1113,1113,1280,1280,1280,1384
G48000900203002,2010,Texas,48,Archer County,9,20300,2,766,766,766,829,829,829,809
G48000900203003,2010,Texas,48,Archer County,9,20300,3,678.92,677,736,737,737,737,731
G48000900203004,2010,Texas,48,Archer County,9,20300,4,745.08,688,747,710,710,710,690
G48001109501001,2010,Texas,48,Armstrong County,11,950100,1,593.97,568,599,615.89,615,616,545
G48001109501002,2010,Texas,48,Armstrong County,11,950100,2,637,637,637,676,676,676,661
G48001109501003,2010,Texas,48,Armstrong County,11,950100,3,790.03,785,816,856.11,856,857,695
G48001309601001,2010,Texas,48,Atascosa County,13,960100,1,1048,1048,1048,1524,1524,1524,1820
G48001309601002,2010,Texas,48,Atascosa County,13,960100,2,1390.06,1390,1402,2215,2215,2215,2732
G48001309601003,2010,Texas,48,Atascosa County,13,960100,3,1472,1472,1472,1543,1543,1543,1498
G48001309601004,2010,Texas,48,Atascosa County,13,960100,4,790,790,790,860,860,860,922
G48001309602011,2010,Texas,48,Atascosa County,13,960201,1,790.36,672,798,840.17,655,852,976
G48001309602012,2010,Texas,48,Atascosa County,13,960201,2,1432.41,1393,1436,1602.32,1547,1607,1616
G48001309602013,2010,Texas,48,Atascosa County,13,960201,3,1241.64,1234,1360,2400.83,2389,2586,3642
G48001309602021,2010,Texas,48,Atascosa County,13,960202,1,1887.68,1875,1903,2747,2747,2747,3252
G48001309602022,2010,Texas,48,Atascosa County,13,960202,2,1393,1393,1393,1817,1817,1817,2387
G48001309602023,2010,Texas,48,Atascosa County,13,960202,3,763,763,763,1040,1040,1040,1215
G48001309602024,2010,Texas,48,Atascosa County,13,960202,4,529.32,514,542,1755,1755,1755,2488
G48001309603001,2010,Texas,48,Atascosa County,13,960300,1,1698,1698,1698,1782,1782,1782,1879
G48001309603002,2010,Texas,48,Atascosa County,13,960300,2,1703,1703,1703,1795,1795,1795,1716
G48001309604011,2010,Texas,48,Atascosa County,13,960401,1,1331,1331,1331,2029,2029,2029,2294
G48001309604021,2010,Texas,48,Atascosa County,13,960402,1,687,687,687,682,682,682,705
G48001309604022,2010,Texas,48,Atascosa County,13,960402,2,1931,1931,1931,2055,2055,2055,2728
G48001309604023,2010,Texas,48,Atascosa County,13,960402,3,592.94,581,593,758,758,758,767
G48001309604024,2010,Texas,48,Atascosa County,13,960402,4,1241,1241,1241,1322,1322,1322,1240
G48001309604025,2010,Texas,48,Atascosa County,13,960402,5,2003,2003,2003,2178,2178,2178,2361
G48001309605001,2010,Texas,48,Atascosa County,13,960500,1,1135,1135,1135,1353,1353,1353,1474
G48001309605002,2010,Texas,48,Atascosa County,13,960500,2,854.03,803,855,932.91,921,933,1210
G48001309606001,2010,Texas,48,Atascosa County,13,960600,1,1583,1583,1583,1815,1815,1815,2177
G48001309606002,2010,Texas,48,Atascosa County,13,960600,2,1069.93,1066,1073,1222,1222,1222,1408
G48001309606003,2010,Texas,48,Atascosa County,13,960600,3,1206,1206,1206,1493,1493,1493,1380
G48001309606004,2010,Texas,48,Atascosa County,13,960600,4,755.62,709,771,861.63,840,868,1024
G48001507601001,2010,Texas,48,Austin County,15,760100,1,987,920,990,1059.68,1003,1062,1365
G48001507601002,2010,Texas,48,Austin County,15,760100,2,927,790,962,1011,938,1032,1035
G48001507602001,2010,Texas,48,Austin County,15,760200,1,1116,1116,1116,1182,1182,1182,1301
G48001507602002,2010,Texas,48,Austin County,15,760200,2,962,962,962,1221,1221,1221,1996
G48001507602003,2010,Texas,48,Austin County,15,760200,3,716,716,716,920,920,920,889
G48001507602004,2010,Texas,48,Austin County,15,760200,4,1272,1272,1272,1856,1856,1856,1846
G48001507603001,2010,Texas,48,Austin County,15,760300,1,1018,1018,1018,967,967,967,1356
G48001507603002,2010,Texas,48,Austin County,15,760300,2,911.44,911,942,1224.93,1224,1287,1515
G48001507603003,2010,Texas,48,Austin County,15,760300,3,1633.56,1603,1671,1833.56,1771,1838,2951
G48001507603004,2010,Texas,48,Austin County,15,760300,4,1031,1031,1031,1164,1164,1164,1215
G48001507604001,2010,Texas,48,Austin County,15,760400,1,766.45,729,787,1244.87,1241,1262,1453
G48001507604002,2010,Texas,48,Austin County,15,760400,2,887,887,887,946,946,946,1044
G48001507604003,2010,Texas,48,Austin County,15,760400,3,831,831,831,1021,1021,1021,1163
G48001507605011,2010,Texas,48,Austin County,15,760501,1,663.12,663,671,907.09,907,913,1227
G48001507605012,2010,Texas,48,Austin County,15,760501,2,1561.73,1526,1563,2062.43,2019,2064,2203
G48001507605013,2010,Texas,48,Austin County,15,760501,3,672.97,672,974,792.18,790,1103,754
G48001507605021,2010,Texas,48,Austin County,15,760502,1,1015,1015,1015,1292,1292,1292,1619
G48001507605022,2010,Texas,48,Austin County,15,760502,2,583.88,576,584,651.91,646,652,858
G48001507605023,2010,Texas,48,Austin County,15,760502,3,917.03,616,918,916.82,606,919,1044
G48001507605024,2010,Texas,48,Austin County,15,760502,4,1356,1356,1356,1313,1313,1313,1583
G48001709501001,2010,Texas,48,Bailey County,17,950100,1,1144,1144,1144,1150,1150,1150,1346
G48001709501002,2010,Texas,48,Bailey County,17,950100,2,1967,1967,1967,1876,1876,1876,2158
G48001709501003,2010,Texas,48,Bailey County,17,950100,3,815,815,815,873,873,873,927
G48001709501004,2010,Texas,48,Bailey County,17,950100,4,862,862,862,840,840,840,964
G48001709501005,2010,Texas,48,Bailey County,17,950100,5,811,811,811,736,736,736,793
G48001709501006,2010,Texas,48,Bailey County,17,950100,6,1465,1465,1465,1119,1119,1119,977
G48001900001011,2010,Texas,48,Bandera County,19,101,1,1159,1159,1159,2389,2389,2389,3344
G48001900001012,2010,Texas,48,Bandera County,19,101,2,1034.17,1034,1150,1205.14,1205,1208,986
G48001900001021,2010,Texas,48,Bandera County,19,102,1,759,759,759,1408,1408,1408,1750
G48001900001022,2010,Texas,48,Bandera County,19,102,2,1312.83,1197,1313,1994.86,1992,1995,2031
G48001900001023,2010,Texas,48,Bandera County,19,102,3,573,573,573,900,900,900,1132
G48001900002001,2010,Texas,48,Bandera County,19,200,1,1155.32,1138,1203,1519.2,1519,1558,1669
G48001900002002,2010,Texas,48,Bandera County,19,200,2,661.68,614,679,932.8,894,933,1057
G48001900003001,2010,Texas,48,Bandera County,19,300,1,631.21,597,632,1553,1553,1553,1979
G48001900003002,2010,Texas,48,Bandera County,19,300,2,1323,1323,1323,2335,2335,2335,2962
G48001900003003,2010,Texas,48,Bandera County,19,300,3,390,390,390,1080,1080,1080,1428
G48001900004001,2010,Texas,48,Bandera County,19,400,1,847.46,833,861,1259.89,1252,1260,1198
G48001900004002,2010,Texas,48,Bandera County,19,400,2,715.32,701,764,1068.11,1068,1076,949
G48002109501001,2010,Texas,48,Bastrop County,21,950100,1,1162,1162,1162,1794,1794,1794,1999
G48002109501002,2010,Texas,48,Bastrop County,21,950100,2,1065.99,1040,1109,1640.99,1593,1689,1901
G48002109501003,2010,Texas,48,Bastrop County,21,950100,3,957,957,957,1442,1442,1442,1791
G48002109501004,2010,Texas,48,Bastrop County,21,950100,4,937,937,1044,1423,1423,1423,1838
G48002109501005,2010,Texas,48,Bastrop County,21,950100,5,765.81,730,766,985.59,910,986,1079
G48002109502001,2010,Texas,48,Bastrop County,21,950200,1,1245,1245,1245,1409,1409,1409,1492
G48002109502002,2010,Texas,48,Bastrop County,21,950200,2,630.01,630,642,762.01,762,774,2591
G48002109502003,2010,Texas,48,Bastrop County,21,950200,3,1521,1478,1535,1757,1709,1793,1499
G48002109502004,2010,Texas,48,Bastrop County,21,950200,4,976.02,976,1161,1074.03,1074,1332,1155
G48002109502005,2010,Texas,48,Bastrop County,21,950200,5,977.98,793,978,1193.97,936,1194,1218
G48002109503001,2010,Texas,48,Bastrop County,21,950300,1,713,713,766,1000,1000,1000,1715
G48002109503002,2010,Texas,48,Bastrop County,21,950300,2,982,929,982,1877,1877,1877,4106
G48002109503003,2010,Texas,48,Bastrop County,21,950300,3,1285,1285,1285,1704,1704,1704,2380
G48002109503004,2010,Texas,48,Bastrop County,21,950300,4,888,888,888,1152,1152,1152,1721
G48002109503005,2010,Texas,48,Bastrop County,21,950300,5,1214,1214,1214,1705,1705,1705,3005
G48002109504001,2010,Texas,48,Bastrop County,21,950400,1,1463,1463,1463,1650,1650,1650,1359
G48002109504002,2010,Texas,48,Bastrop County,21,950400,2,1070,1070,1070,1300,1300,1300,1705
G48002109504003,2010,Texas,48,Bastrop County,21,950400,3,994,994,994,1065,1065,1065,972
G48002109504004,2010,Texas,48,Bastrop County,21,950400,4,673.9,662,871,1332.76,1293,1569,1780
G48002109504005,2010,Texas,48,Bastrop County,21,950400,5,954.1,757,966,1987.24,1751,2027,2168
G48002109505011,2010,Texas,48,Bastrop County,21,950501,1,1450.13,1289,1523,2589.05,2572,2671,3812
G48002109505012,2010,Texas,48,Bastrop County,21,950501,2,665,665,665,1143,1143,1143,1429
G48002109505013,2010,Texas,48,Bastrop County,21,950501,3,1241,1241,1241,2099,2099,2099,2767
G48002109505021,2010,Texas,48,Bastrop County,21,950502,1,1591,1591,1591,2538,2538,2538,3127
G48002109505022,2010,Texas,48,Bastrop County,21,950502,2,895.05,858,949,1784.36,1778,1801,2078
G48002109505023,2010,Texas,48,Bastrop County,21,950502,3,594,594,594,1041,1041,1041,1204
G48002109506001,2010,Texas,48,Bastrop County,21,950600,1,1275.93,1274,1276,1916.94,1910,1917,1898
G48002109506002,2010,Texas,48,Bastrop County,21,950600,2,677.07,677,679,982.06,982,989,1179
G48002109506003,2010,Texas,48,Bastrop County,21,950600,3,983,983,983,1560,1560,1560,2107
G48002109507001,2010,Texas,48,Bastrop County,21,950700,1,819.75,806,824,959.94,952,964,957
G48002109507002,2010,Texas,48,Bastrop County,21,950700,2,715.35,711,734,885.06,881,893,840
G48002109507003,2010,Texas,48,Bastrop County,21,950700,3,733,733,733,882,882,882,873
G48002109507004,2010,Texas,48,Bastrop County,21,950700,4,1248.9,1244,1249,1470,1470,1470,1519
G48002109508011,2010,Texas,48,Bastrop County,21,950801,1,832.71,626,1051,1594.9,1531,1944,2026
G48002109508012,2010,Texas,48,Bastrop County,21,950801,2,646,646,646,1420,1420,1420,1779
G48002109508013,2010,Texas,48,Bastrop County,21,950801,3,1177.29,959,1384,1986.1,1637,2050,2715
G48002109508021,2010,Texas,48,Bastrop County,21,950802,1,784.97,128,1222,2188.29,1179,2629,3735
G48002109508022,2010,Texas,48,Bastrop County,21,950802,2,679.03,242,1336,1297.71,857,2307,1426
G48002109508023,2010,Texas,48,Bastrop County,21,950802,3,779,779,779,1141,1141,1141,1226
G48002309503001,2010,Texas,48,Baylor County,23,950300,1,724.3,712,728,820.22,813,823,627
G48002309503002,2010,Texas,48,Baylor County,23,950300,2,880,870,880,686,682,686,633
G48002309503003,2010,Texas,48,Baylor County,23,950300,3,1062.7,1059,1075,1061.78,1059,1069,966
G48002309503004,2010,Texas,48,Baylor County,23,950300,4,1092,1092,1102,873,873,877,860
G48002309503005,2010,Texas,48,Baylor County,23,950300,5,626,626,626,652,652,652,640
G48002509501001,2010,Texas,48,Bee County,25,950100,1,797,797,797,874,874,874,799
G48002509501002,2010,Texas,48,Bee County,25,950100,2,1394,1394,1394,1358,1358,1358,1203
G48002509502011,2010,Texas,48,Bee County,25,950201,1,183.76,0,184,4332,4332,4332,4253
G48002509502012,2010,Texas,48,Bee County,25,950201,2,3.54,0,422,4.07,3,417,2846
G48002509502013,2010,Texas,48,Bee County,25,950201,3,743.7,325,931,3600.93,3188,3602,829
G48002509502021,2010,Texas,48,Bee County,25,950202,1,579,579,579,636,636,636,707
G48002509502022,2010,Texas,48,Bee County,25,950202,2,1272,1272,1272,1418,1418,1418,1315
G48002509502023,2010,Texas,48,Bee County,25,950202,3,1495,1495,1495,1521,1521,1521,1593
G48002509502024,2010,Texas,48,Bee County,25,950202,4,1529,1529,1529,1586,1586,1586,1444
G48002509503001,2010,Texas,48,Bee County,25,950300,1,927,927,927,876,876,876,805
G48002509503002,2010,Texas,48,Bee County,25,950300,2,1051,1051,1051,1147,1147,1147,1195
G48002509503003,2010,Texas,48,Bee County,25,950300,3,1179.32,1179,1184,1150.03,1149,1165,1200
G48002509503004,2010,Texas,48,Bee County,25,950300,4,709,709,709,702,702,702,769
G48002509503005,2010,Texas,48,Bee County,25,950300,5,1459,1459,1459,1288,1288,1288,1124
G48002509504001,2010,Texas,48,Bee County,25,950400,1,1273,1273,1273,1077,1077,1077,985
G48002509504002,2010,Texas,48,Bee County,25,950400,2,1031.68,1027,1032,1061.97,1047,1063,1021
G48002509505001,2010,Texas,48,Bee County,25,950500,1,1359,1359,1359,1162,1162,1162,1328
G48002509505002,2010,Texas,48,Bee County,25,950500,2,1010,1010,1010,854,854,854,832
G48002509505003,2010,Texas,48,Bee County,25,950500,3,1077,1077,1077,1092,1092,1092,1051
G48002509505004,2010,Texas,48,Bee County,25,950500,4,883,883,883,669,669,669,707
G48002509505005,2010,Texas,48,Bee County,25,950500,5,886,886,886,747,747,747,674
G48002509505006,2010,Texas,48,Bee County,25,950500,6,1383,1383,1383,1874,1874,1874,1956
G48002509505007,2010,Texas,48,Bee County,25,950500,7,798,798,798,767,767,767,795
G48002509506001,2010,Texas,48,Bee County,25,950600,1,2112,2112,2112,2562,2562,2562,2430
G48002700201001,2010,Texas,48,Bell County,27,20100,1,1454.87,1434,1455,1839.9,1824,1840,2708
G48002700201002,2010,Texas,48,Bell County,27,20100,2,1800,1800,1800,1956,1956,1956,2223
G48002700201003,2010,Texas,48,Bell County,27,20100,3,1049,1049,1055,1211,1211,1216,1288
G48002700202011,2010,Texas,48,Bell County,27,20201,1,964,964,964,1851,1851,1851,2112
G48002700202012,2010,Texas,48,Bell County,27,20201,2,1525.37,1525,1548,2097.5,2096,2100,3905
G48002700202021,2010,Texas,48,Bell County,27,20202,1,1308,1308,1308,1833,1833,1833,2664
G48002700202022,2010,Texas,48,Bell County,27,20202,2,813.63,791,814,1707.5,1705,1709,2543
G48002700202023,2010,Texas,48,Bell County,27,20202,3,1065,1065,1065,1139,1139,1139,1367
G48002700203001,2010,Texas,48,Bell County,27,20300,1,995,981,1005,1138,1138,1138,1948
G48002700203002,2010,Texas,48,Bell County,27,20300,2,1124,1117,1138,1875,1875,1877,5890
G48002700204011,2010,Texas,48,Bell County,27,20401,1,671,661,673,845,845,845,861
G48002700204012,2010,Texas,48,Bell County,27,20401,2,1374,1374,1374,1761,1761,1761,2147
G48002700204021,2010,Texas,48,Bell County,27,20402,1,1862.13,1862,2034,2385.1,2385,2401,2803
G48002700205001,2010,Texas,48,Bell County,27,20500,1,899.93,726,900,771.92,679,772,867
G48002700205002,2010,Texas,48,Bell County,27,20500,2,1030,1030,1030,1152,1152,1152,1524
G48002700205003,2010,Texas,48,Bell County,27,20500,3,1403,1403,1403,1409,1409,1409,1419
G48002700206001,2010,Texas,48,Bell County,27,20600,1,691,691,691,739,739,739,770
G48002700206002,2010,Texas,48,Bell County,27,20600,2,1234.07,1234,1408,1253.08,1253,1346,1155
G48002700206003,2010,Texas,48,Bell County,27,20600,3,653,653,653,708,708,708,649
G48002700207011,2010,Texas,48,Bell County,27,20701,1,799,799,799,824,824,824,657
G48002700207012,2010,Texas,48,Bell County,27,20701,2,726,726,726,906,906,906,686
